Date,League,Matchup,Segment,Pick (Odds),Risk,To Win,Hit/Miss,PnL
2025-12-02 00:00:00,ALL,ALL,ALL,ALL,197500,197500,,
2025-12-08 00:00:00,NBA,Spurs @ TBD,FG,Spurs -9 (-113),56500,50000,,
2025-12-08 00:00:00,NBA,Pacers @ TBD,FG,Pacers -4 (-102),50000,50000,,
2025-12-08 00:00:00,NBA,Pacers @ TBD,1H,Pacers -2 (-106),50000,50000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,FG,Clippers +3 (-130),50000,50000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,1Q,Clippers -115,50000,50000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,1H,Clippers +108,50000,54000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,1H,Clippers Team Total Under 20.5 (-105),25000,25000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,FG,Clippers Team Total Under 42.5 (-118),50000,50000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,FG,Clippers +120,50000,60000,,
2025-12-08 00:00:00,NBA,TBD,FG,Under 7.5 (-125),62500,50000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,2H,Clippers +1 (EVEN),50000,50000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,2H,Clippers +125,50000,50000,,
2025-12-08 00:00:00,NBA,Clippers @ Rockets,2H,Clippers Team Total Under 20 (+105),50000,52500,,
2025-12-10 00:00:00,NCAAM , Wisconsin @ Nebraska , FG , Wisconsin +2 (-107) ,53500,50000,,
2025-12-10 00:00:00,NCAAM , Wisconsin @ Nebraska , 1H , Wisconsin +1 (-108) ,54000,50000,,
2025-12-10 00:00:00,NCAAM , Wisconsin @ Nebraska , FG , Under 158.5 (-105) ,52500,50000,,
2025-12-10 00:00:00,NCAAM , Duquesne @ Boise State , FG , Under 150.5 (-108) ,54000,50000,,
2025-12-10 00:00:00,NCAAM , Duquesne @ Boise State , 1H , Duquesne +8 (-108) ,54000,50000,,
2025-12-10 00:00:00,NCAAM , Duquesne @ Boise State , FG , Duquesne +14 (-108) ,54000,50000,,
2025-12-10 00:00:00,NBA , Suns @ Thunder , FG , Suns +15.5 (-110) ,55000,50000,,
2025-12-10 00:00:00,NBA , Suns @ Thunder , 1H , Suns +9 (-108) ,54000,50000,,
2025-12-10 00:00:00,NBA , Suns @ Thunder , FG , Over 220.5 (-109) ,54500,50000,,
2025-12-10 00:00:00,NBA , Spurs @ Lakers , FG , Under 241.5 (-108) ,54000,50000,,
2025-12-10 00:00:00,NBA , Spurs @ Lakers , FG , Spurs +7.5 (-118) ,59000,50000,,
