league,game_date,game_id,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,game_datetime_cst
NBA,2000-10-31,,Nets,Cavaliers,82,86,0.0,0.0,82.0,86.0,2000-10-31 18:30:00 CST
NBA,2000-10-31,,Magic,Wizards,97,86,0.0,0.0,97.0,86.0,2000-10-31 18:30:00 CST
NBA,2000-10-31,,Hawks,Hornets,82,106,0.0,0.0,82.0,106.0,2000-10-31 18:30:00 CST
NBA,2000-10-31,,Knicks,76ers,72,101,0.0,0.0,72.0,101.0,2000-10-31 19:00:00 CST
NBA,2000-10-31,,Raptors,Pistons,95,104,0.0,0.0,95.0,104.0,2000-10-31 19:00:00 CST
NBA,2000-10-31,,Mavericks,Bucks,97,93,0.0,0.0,97.0,93.0,2000-10-31 19:00:00 CST
NBA,2000-10-31,,Bulls,Kings,81,100,0.0,0.0,81.0,100.0,2000-10-31 19:30:00 CST
NBA,2000-10-31,,Rockets,Timberwolves,98,106,0.0,0.0,98.0,106.0,2000-10-31 19:30:00 CST
NBA,2000-10-31,,Spurs,Pacers,98,85,0.0,0.0,98.0,85.0,2000-10-31 19:30:00 CST
NBA,2000-10-31,,Jazz,Clippers,107,94,0.0,0.0,107.0,94.0,2000-10-31 20:00:00 CST
NBA,2000-10-31,,Warriors,Suns,96,94,0.0,0.0,96.0,94.0,2000-10-31 21:30:00 CST
NBA,2000-10-31,,Trail Blazers,Lakers,86,96,0.0,0.0,86.0,96.0,2000-10-31 21:30:00 CST
NBA,2000-10-31,,Grizzlies,SuperSonics,94,88,0.0,0.0,94.0,88.0,2000-10-31 21:30:00 CST
NBA,2000-11-01,,Celtics,Pistons,103,83,0.0,0.0,103.0,83.0,2000-11-01 18:00:00 CST
NBA,2000-11-01,,76ers,Raptors,104,98,0.0,0.0,104.0,98.0,2000-11-01 18:00:00 CST
NBA,2000-11-01,,Hornets,Wizards,77,95,0.0,0.0,77.0,95.0,2000-11-01 18:30:00 CST
NBA,2000-11-01,,Cavaliers,Kings,102,100,0.0,0.0,102.0,100.0,2000-11-01 18:30:00 CST
NBA,2000-11-01,,Heat,Magic,105,79,0.0,0.0,105.0,79.0,2000-11-01 19:00:00 CST
NBA,2000-11-01,,SuperSonics,Nuggets,112,99,0.0,0.0,112.0,99.0,2000-11-01 21:00:00 CST
NBA,2000-11-01,,Lakers,Jazz,92,97,0.0,0.0,92.0,97.0,2000-11-01 21:30:00 CST
NBA,2000-11-02,,Knicks,Hawks,94,69,0.0,0.0,94.0,69.0,2000-11-02 18:30:00 CST
NBA,2000-11-02,,Mavericks,Pacers,94,88,0.0,0.0,94.0,88.0,2000-11-02 19:00:00 CST
NBA,2000-11-02,,Spurs,Timberwolves,103,91,0.0,0.0,103.0,91.0,2000-11-02 19:00:00 CST
NBA,2000-11-02,,Rockets,Bucks,115,93,0.0,0.0,115.0,93.0,2000-11-02 19:30:00 CST
NBA,2000-11-02,,Nuggets,Warriors,101,97,0.0,0.0,101.0,97.0,2000-11-02 20:00:00 CST
NBA,2000-11-02,,Suns,Trail Blazers,108,82,0.0,0.0,108.0,82.0,2000-11-02 20:00:00 CST
NBA,2000-11-02,,Clippers,Grizzlies,91,99,0.0,0.0,91.0,99.0,2000-11-02 21:30:00 CST
NBA,2000-11-03,,Wizards,Knicks,76,80,0.0,0.0,76.0,80.0,2000-11-03 18:00:00 CST
NBA,2000-11-03,,Celtics,Raptors,93,91,0.0,0.0,93.0,91.0,2000-11-03 18:30:00 CST
NBA,2000-11-03,,Magic,76ers,80,87,0.0,0.0,80.0,87.0,2000-11-03 18:30:00 CST
NBA,2000-11-03,,Hornets,Heat,83,79,0.0,0.0,83.0,79.0,2000-11-03 18:30:00 CST
NBA,2000-11-03,,Pistons,Kings,93,100,0.0,0.0,93.0,100.0,2000-11-03 19:00:00 CST
NBA,2000-11-03,,Bulls,Nets,82,92,0.0,0.0,82.0,92.0,2000-11-03 19:30:00 CST
NBA,2000-11-04,,Grizzlies,Lakers,89,98,0.0,0.0,89.0,98.0,2000-11-04 14:30:00 CST
NBA,2000-11-04,,Raptors,Wizards,103,96,0.0,0.0,103.0,96.0,2000-11-04 18:00:00 CST
NBA,2000-11-04,,Pacers,Bulls,94,81,0.0,0.0,94.0,81.0,2000-11-04 18:00:00 CST
NBA,2000-11-04,,Heat,76ers,82,84,0.0,0.0,82.0,84.0,2000-11-04 18:30:00 CST
NBA,2000-11-04,,Hawks,Magic,104,107,0.0,0.0,104.0,107.0,2000-11-04 18:30:00 CST
NBA,2000-11-04,,Cavaliers,Celtics,91,89,0.0,0.0,91.0,89.0,2000-11-04 18:30:00 CST
NBA,2000-11-04,,Nets,Hornets,87,98,0.0,0.0,87.0,98.0,2000-11-04 19:00:00 CST
NBA,2000-11-04,,Timberwolves,Kings,99,91,0.0,0.0,99.0,91.0,2000-11-04 19:00:00 CST
NBA,2000-11-04,,Mavericks,Jazz,106,112,0.0,0.0,106.0,112.0,2000-11-04 19:00:00 CST
NBA,2000-11-04,,Bucks,Pistons,97,88,0.0,0.0,97.0,88.0,2000-11-04 19:30:00 CST
NBA,2000-11-04,,Nuggets,Suns,99,102,0.0,0.0,99.0,102.0,2000-11-04 20:00:00 CST
NBA,2000-11-04,,SuperSonics,Trail Blazers,90,97,0.0,0.0,90.0,97.0,2000-11-04 21:00:00 CST
